booking_date,arrival_date,lead_time,adr,stays_in_weekend_nights,stays_in_week_nights,is_canceled,lead_bin,season,agent_group,guests_bin,weekend_bin,market_segment,customer_type
2015-05-18,2015-07-02,45,108.8,1,3,1,31-90d,summer,241,3,up to half,Online TA,Transient
2015-05-23,2015-07-02,40,108.8,1,3,1,31-90d,summer,241,3,up to half,Online TA,Transient
2015-06-17,2015-07-02,15,98.0,1,3,0,8-30d,summer,240,2,up to half,Online TA,Transient
2015-05-27,2015-07-02,36,108.8,1,3,0,31-90d,summer,241,3,up to half,Online TA,Transient
2015-05-20,2015-07-02,43,108.8,1,3,1,31-90d,summer,241,3,up to half,Online TA,Transient
2015-04-23,2015-07-02,70,137.0,2,3,0,31-90d,summer,250,2,up to half,Direct,Transient
2015-05-18,2015-07-02,45,117.81,2,3,1,31-90d,summer,241,2,up to half,Online TA,Transient
2015-05-18,2015-07-02,45,79.5,2,3,0,31-90d,summer,8,2,up to half,Offline TA/TO,Contract
2015-06-16,2015-07-02,16,123.0,2,3,0,8-30d,summer,none,2,up to half,Direct,Transient
2015-04-23,2015-07-02,70,137.0,2,3,0,31-90d,summer,250,2,up to half,Direct,Transient
2015-03-17,2015-07-02,107,110.7,2,5,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-05-16,2015-07-02,47,153.0,2,5,1,31-90d,summer,240,4+,up to half,Online TA,Transient
2015-03-28,2015-07-02,96,58.95,2,5,0,91-180d,summer,other,2,up to half,Offline TA/TO,Transient
2015-03-11,2015-07-02,113,82.88,2,5,0,91-180d,summer,156,2,up to half,Offline TA/TO,Transient-Party
2015-04-03,2015-07-02,90,82.35,2,5,0,31-90d,summer,243,2,up to half,Offline TA/TO,Contract
2015-05-13,2015-07-02,50,119.35,2,5,0,31-90d,summer,241,2,up to half,Online TA,Transient
2015-03-11,2015-07-02,113,67.58,2,5,0,91-180d,summer,156,2,up to half,Offline TA/TO,Transient-Party
2015-03-31,2015-07-02,93,56.01,3,8,0,91-180d,summer,156,2,up to half,Offline TA/TO,Contract
2015-04-17,2015-07-02,76,110.7,4,10,0,31-90d,summer,243,2,up to half,Offline TA/TO,Contract
2015-06-29,2015-07-02,3,88.2,0,1,0,0-7d,summer,240,2,none,Online TA,Transient
2015-07-01,2015-07-02,1,147.0,0,1,0,0-7d,summer,240,2,none,Online TA,Transient
2015-07-01,2015-07-02,1,107.0,0,1,0,0-7d,summer,none,4+,none,Direct,Transient
2015-07-02,2015-07-02,0,147.0,0,1,0,0-7d,summer,none,2,none,Direct,Transient
2015-07-02,2015-07-02,0,117.9,0,1,0,0-7d,summer,240,2,none,Online TA,Transient
2015-07-02,2015-07-02,0,123.0,0,1,0,0-7d,summer,none,2,none,Direct,Transient
2015-06-18,2015-07-02,14,98.0,0,2,0,8-30d,summer,242,2,none,Online TA,Transient
2015-06-22,2015-07-02,10,117.81,0,2,0,8-30d,summer,241,2,none,Online TA,Transient
2015-06-27,2015-07-02,5,135.0,0,2,0,0-7d,summer,240,2,none,Online TA,Transient
2015-06-15,2015-07-02,17,133.0,0,3,0,8-30d,summer,250,2,none,Direct,Transient
2015-03-31,2015-07-02,93,58.95,0,3,0,91-180d,summer,115,2,none,Offline TA/TO,Contract
2015-06-29,2015-07-02,3,136.33,0,3,1,0-7d,summer,240,2,none,Online TA,Transient
2015-06-23,2015-07-03,10,153.0,0,2,0,8-30d,summer,240,4+,none,Online TA,Transient
2015-06-30,2015-07-03,3,110.5,0,2,0,0-7d,summer,240,2,none,Online TA,Transient
2015-05-13,2015-07-03,51,97.0,0,2,0,31-90d,summer,242,2,none,Online TA,Transient
2015-04-23,2015-07-03,71,110.3,0,2,1,31-90d,summer,242,3,none,Offline TA/TO,Transient
2015-05-01,2015-07-03,63,82.0,0,2,1,31-90d,summer,240,2,none,Online TA,Transient
2015-05-02,2015-07-03,62,97.0,0,2,1,31-90d,summer,240,2,none,Online TA,Transient
2015-03-24,2015-07-03,101,73.8,0,2,1,91-180d,summer,240,2,none,Online TA,Transient
2015-07-01,2015-07-03,2,91.5,0,2,0,0-7d,summer,other,2,none,Offline TA/TO,Transient
2015-06-18,2015-07-03,15,114.5,0,2,0,8-30d,summer,240,2,none,Online TA,Transient
2015-05-13,2015-07-03,51,110.3,0,2,1,31-90d,summer,242,3,none,Online TA,Transient
2015-06-30,2015-07-03,3,90.9,1,2,0,0-7d,summer,240,2,up to half,Online TA,Transient
2015-05-16,2015-07-03,48,123.0,1,2,1,31-90d,summer,240,2,up to half,Online TA,Transient
2015-07-01,2015-07-03,2,122.0,2,2,0,0-7d,summer,240,0-1,up to half,Online TA,Transient
2015-04-22,2015-07-03,72,110.7,2,2,0,31-90d,summer,other,2,up to half,Offline TA/TO,Transient
2015-04-13,2015-07-03,81,85.86,2,6,0,31-90d,summer,other,3,up to half,Offline TA/TO,Transient
2015-03-26,2015-07-03,99,58.95,2,7,0,91-180d,summer,40,2,up to half,Offline TA/TO,Contract
2014-06-30,2015-07-03,368,55.68,3,7,1,181d+,summer,40,2,up to half,Offline TA/TO,Contract
2014-07-04,2015-07-03,364,55.68,3,7,0,181d+,summer,40,2,up to half,Offline TA/TO,Contract
2015-04-13,2015-07-03,81,124.0,3,7,1,31-90d,summer,250,2,up to half,Direct,Transient
2015-03-26,2015-07-03,99,111.15,3,7,0,91-180d,summer,115,2,up to half,Offline TA/TO,Contract
2014-08-13,2015-07-03,324,134.73,4,10,0,181d+,summer,40,2,up to half,Offline TA/TO,Contract
2015-04-25,2015-07-03,69,92.45,4,10,0,31-90d,summer,241,2,up to half,Online TA,Transient
2015-04-15,2015-07-03,79,108.73,6,15,1,31-90d,summer,242,3,up to half,Offline TA/TO,Transient
2015-06-21,2015-07-03,12,73.8,0,1,0,8-30d,summer,240,2,none,Online TA,Transient
2015-06-24,2015-07-03,9,98.0,0,1,0,8-30d,summer,240,2,none,Online TA,Transient
2015-07-02,2015-07-03,1,131.0,0,1,0,0-7d,summer,240,2,none,Online TA,Transient
2015-06-12,2015-07-03,21,123.0,0,1,0,8-30d,summer,240,2,none,Online TA,Transient
2015-06-24,2015-07-03,9,94.71,0,1,0,8-30d,summer,241,2,none,Online TA,Transient
2015-03-16,2015-07-03,109,123.0,0,1,0,91-180d,summer,240,2,none,Online TA,Transient
2015-03-16,2015-07-03,109,123.0,0,2,1,91-180d,summer,240,2,none,Online TA,Transient
2015-04-22,2015-07-03,72,73.8,0,2,1,31-90d,summer,240,2,none,Online TA,Transient
2015-05-01,2015-07-03,63,117.0,2,5,1,31-90d,summer,242,2,up to half,Online TA,Transient
2015-05-01,2015-07-03,63,196.54,2,5,0,31-90d,summer,other,3,up to half,Offline TA/TO,Transient
2015-03-24,2015-07-03,101,99.3,2,5,0,91-180d,summer,240,3,up to half,Online TA,Transient
2015-03-23,2015-07-03,102,90.95,2,5,0,91-180d,summer,250,2,up to half,Direct,Transient
2015-06-30,2015-07-04,4,92.67,2,1,0,0-7d,summer,250,2,over half,Direct,Transient
2015-03-28,2015-07-04,98,71.55,2,1,0,91-180d,summer,8,2,over half,Offline TA/TO,Transient
2015-04-03,2015-07-04,92,96.49,2,4,0,91-180d,summer,241,3,up to half,Offline TA/TO,Transient
2015-03-31,2015-07-04,95,85.8,2,4,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-03-24,2015-07-04,102,96.3,2,5,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-06-08,2015-07-04,26,163.0,2,5,1,8-30d,summer,240,4+,up to half,Online TA,Transient
2015-04-22,2015-07-04,73,172.0,2,5,1,31-90d,summer,250,3,up to half,Direct,Transient
2015-03-24,2015-07-04,102,110.7,2,5,1,91-180d,summer,240,2,up to half,Online TA,Transient
2015-03-11,2015-07-04,115,58.95,2,5,0,91-180d,summer,other,2,up to half,Offline TA/TO,Transient
2015-03-24,2015-07-04,102,73.8,2,5,0,91-180d,summer,240,3,up to half,Online TA,Transient
2015-04-09,2015-07-04,86,97.0,2,5,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-04-17,2015-07-04,78,139.0,2,5,0,31-90d,summer,240,3,up to half,Online TA,Transient
2015-05-13,2015-07-04,52,67.24,2,5,0,31-90d,summer,other,2,up to half,Online TA,Transient
2015-06-05,2015-07-04,29,116.5,2,6,0,8-30d,summer,241,3,up to half,Online TA,Transient
2015-03-25,2015-07-04,101,96.3,2,6,1,91-180d,summer,240,2,up to half,Online TA,Transient
2015-03-17,2015-07-04,109,123.0,2,6,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-04-03,2015-07-04,92,71.55,4,6,0,91-180d,summer,40,2,up to half,Offline TA/TO,Contract
2015-04-03,2015-07-04,92,71.55,4,6,0,91-180d,summer,40,2,up to half,Offline TA/TO,Contract
2015-04-16,2015-07-04,79,149.0,4,6,0,31-90d,summer,250,3,up to half,Direct,Transient
2015-07-02,2015-07-04,2,163.0,0,1,0,0-7d,summer,240,4+,none,Online TA,Transient
2015-06-04,2015-07-04,30,79.5,0,1,0,8-30d,summer,8,2,none,Offline TA/TO,Contract
2015-05-14,2015-07-04,51,105.0,0,1,1,31-90d,summer,240,0-1,none,Online TA,Transient
2015-05-29,2015-07-04,36,123.0,0,1,1,31-90d,summer,250,0-1,none,Direct,Transient
2015-04-22,2015-07-04,73,73.8,0,1,1,31-90d,summer,240,2,none,Online TA,Transient
2015-06-01,2015-07-04,33,113.0,0,1,1,31-90d,summer,240,2,none,Online TA,Transient
2015-06-02,2015-07-04,32,0.0,0,1,0,31-90d,summer,none,4+,none,Complementary,Transient
2015-06-26,2015-07-04,8,123.0,0,1,0,8-30d,summer,240,2,none,Online TA,Transient
2015-03-26,2015-07-04,100,73.8,1,1,0,91-180d,summer,240,2,up to half,Online TA,Transient-Party
2015-07-03,2015-07-04,1,114.5,1,1,0,0-7d,summer,240,2,up to half,Online TA,Transient
2015-03-26,2015-07-04,100,73.8,1,1,0,91-180d,summer,240,2,up to half,Online TA,Transient-Party
2015-03-26,2015-07-04,100,73.8,1,1,0,91-180d,summer,240,2,up to half,Online TA,Transient-Party
2015-06-26,2015-07-05,9,88.2,1,0,0,8-30d,summer,240,2,over half,Online TA,Transient
2015-06-30,2015-07-05,5,97.0,1,0,1,0-7d,summer,240,2,over half,Online TA,Transient
2015-07-05,2015-07-05,0,85.1,1,0,0,0-7d,summer,other,2,over half,Online TA,Transient
2015-06-26,2015-07-05,9,89.0,1,0,0,8-30d,summer,other,0-1,over half,Online TA,Transient
2015-07-03,2015-07-05,2,80.1,1,0,0,0-7d,summer,240,0-1,over half,Online TA,Transient
2015-07-03,2015-07-05,2,98.0,1,0,0,0-7d,summer,240,2,over half,Online TA,Transient
2015-06-26,2015-07-05,9,101.0,1,0,0,8-30d,summer,other,0-1,over half,Online TA,Transient
2015-06-30,2015-07-05,5,97.0,1,0,1,0-7d,summer,240,2,over half,Online TA,Transient
2015-07-03,2015-07-05,2,167.0,1,0,0,0-7d,summer,none,2,over half,Direct,Transient
2015-05-22,2015-07-05,44,225.0,2,0,0,31-90d,summer,240,3,over half,Online TA,Transient
2015-04-16,2015-07-05,80,97.0,2,0,0,31-90d,summer,240,2,over half,Online TA,Transient
2015-03-30,2015-07-05,97,87.3,2,2,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-03-18,2015-07-05,109,85.59,2,3,0,91-180d,summer,241,3,up to half,Offline TA/TO,Transient
2015-06-05,2015-07-05,30,123.0,2,3,0,8-30d,summer,240,2,up to half,Online TA,Transient
2015-05-02,2015-07-05,64,107.0,2,3,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-05-27,2015-07-05,39,163.0,2,4,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-04-06,2015-07-05,90,82.0,2,4,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-06-01,2015-07-05,34,163.0,2,4,1,31-90d,summer,240,4+,up to half,Online TA,Transient
2015-04-03,2015-07-05,93,105.5,2,5,1,91-180d,summer,other,2,up to half,Offline TA/TO,Transient
2015-03-30,2015-07-05,97,164.2,2,5,0,91-180d,summer,250,4+,up to half,Direct,Transient
2015-06-06,2015-07-05,29,97.29,2,5,0,8-30d,summer,241,2,up to half,Online TA,Transient
2015-03-26,2015-07-05,101,114.0,2,5,1,91-180d,summer,240,2,up to half,Online TA,Transient
2015-06-08,2015-07-05,27,98.4,2,5,0,8-30d,summer,other,2,up to half,Offline TA/TO,Transient
2015-06-27,2015-07-05,8,175.0,4,5,0,8-30d,summer,240,4+,up to half,Online TA,Transient
2015-04-14,2015-07-05,82,63.6,4,6,0,31-90d,summer,other,2,up to half,Offline TA/TO,Transient
2015-04-02,2015-07-05,94,124.45,4,6,0,91-180d,summer,none,3,up to half,Direct,Transient
2015-03-17,2015-07-05,110,110.7,4,7,0,91-180d,summer,40,2,up to half,Offline TA/TO,Contract
2015-03-31,2015-07-05,96,74.07,4,10,0,91-180d,summer,40,0-1,up to half,Offline TA/TO,Contract
2015-04-17,2015-07-05,79,134.1,4,10,0,31-90d,summer,243,2,up to half,Offline TA/TO,Contract
2015-03-13,2015-07-06,115,167.0,1,4,0,91-180d,summer,240,4+,up to half,Online TA,Transient
2015-03-17,2015-07-06,111,123.0,1,3,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-05-16,2015-07-06,51,117.81,1,3,0,31-90d,summer,241,2,up to half,Online TA,Transient
2015-04-03,2015-07-06,94,171.32,1,3,0,91-180d,summer,96,3,up to half,Offline TA/TO,Transient
2015-04-16,2015-07-06,81,210.0,1,3,0,31-90d,summer,250,4+,up to half,Direct,Transient
2015-04-13,2015-07-06,84,97.0,1,3,0,31-90d,summer,240,3,up to half,Online TA,Transient
2015-05-16,2015-07-06,51,117.81,1,3,0,31-90d,summer,241,3,up to half,Online TA,Transient
2015-03-17,2015-07-06,111,0.0,0,0,0,91-180d,summer,240,2,none,Online TA,Transient
2015-07-06,2015-07-06,0,0.0,0,0,0,0-7d,summer,250,0-1,none,Direct,Transient
2015-07-04,2015-07-06,2,131.0,1,0,0,0-7d,summer,none,3,over half,Direct,Transient
2015-06-29,2015-07-06,7,98.0,1,1,0,0-7d,summer,240,2,up to half,Online TA,Transient
2015-03-30,2015-07-06,98,87.3,1,1,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-04-02,2015-07-06,95,97.0,1,2,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-05-19,2015-07-06,48,167.0,1,3,1,31-90d,summer,240,2,up to half,Online TA,Transient
2015-05-01,2015-07-06,66,91.5,1,3,0,31-90d,summer,other,2,up to half,Offline TA/TO,Transient
2015-03-24,2015-07-06,104,73.8,1,3,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-06-08,2015-07-06,28,123.0,1,4,0,8-30d,summer,240,2,up to half,Online TA,Transient
2015-06-02,2015-07-06,34,175.0,1,4,0,31-90d,summer,250,2,up to half,Direct,Transient
2015-03-30,2015-07-06,98,117.8,1,5,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-03-24,2015-07-06,104,117.63,1,5,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-04-29,2015-07-06,68,185.0,2,5,0,31-90d,summer,240,4+,up to half,Online TA,Transient
2015-04-11,2015-07-06,86,71.0,2,5,1,31-90d,summer,other,0-1,up to half,Offline TA/TO,Transient
2014-10-21,2015-07-06,258,47.25,2,5,0,181d+,summer,other,2,up to half,Offline TA/TO,Contract
2015-03-17,2015-07-06,111,151.0,3,5,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-04-03,2015-07-06,94,87.3,3,7,1,91-180d,summer,240,2,up to half,Online TA,Transient
2015-03-16,2015-07-06,112,120.6,3,7,0,91-180d,summer,242,2,up to half,Offline TA/TO,Transient
2015-03-28,2015-07-06,100,63.86,3,7,0,91-180d,summer,241,2,up to half,Offline TA/TO,Transient
2015-06-03,2015-07-06,33,157.1,3,7,0,31-90d,summer,250,2,up to half,Direct,Transient
2015-03-31,2015-07-06,97,91.37,3,7,0,91-180d,summer,156,2,up to half,Offline TA/TO,Contract
2015-04-17,2015-07-06,80,73.0,3,8,0,31-90d,summer,none,0-1,up to half,Direct,Transient
2015-04-07,2015-07-06,90,110.7,4,10,0,31-90d,summer,8,2,up to half,Offline TA/TO,Contract
2015-03-17,2015-07-06,111,93.6,4,10,0,91-180d,summer,40,2,up to half,Offline TA/TO,Contract
2015-05-02,2015-07-06,65,83.5,2,5,0,31-90d,summer,other,2,up to half,Offline TA/TO,Transient
2015-05-01,2015-07-07,67,73.8,0,2,1,31-90d,summer,240,2,none,Online TA,Transient
2015-05-13,2015-07-07,55,82.0,0,3,0,31-90d,summer,240,2,none,Online TA,Transient
2015-06-16,2015-07-07,21,185.5,0,3,0,8-30d,summer,250,3,none,Direct,Transient
2015-06-29,2015-07-07,8,0.0,0,0,0,8-30d,summer,none,2,none,Direct,Transient
2015-06-29,2015-07-07,8,0.0,0,0,0,8-30d,summer,240,2,none,Online TA,Transient
2015-07-07,2015-07-07,0,109.8,0,1,0,0-7d,summer,240,0-1,none,Online TA,Transient
2015-07-07,2015-07-07,0,195.0,0,1,0,0-7d,summer,none,3,none,Direct,Transient
2015-07-07,2015-07-07,0,109.8,0,1,0,0-7d,summer,240,0-1,none,Online TA,Transient
2015-06-29,2015-07-07,8,193.0,0,4,0,8-30d,summer,240,4+,none,Online TA,Transient
2015-05-02,2015-07-07,66,97.0,0,4,0,31-90d,summer,240,2,none,Online TA,Transient
2015-04-10,2015-07-07,88,150.0,0,4,0,31-90d,summer,other,3,none,Offline TA/TO,Transient
2015-07-07,2015-07-07,0,98.0,0,4,0,0-7d,summer,none,2,none,Direct,Transient
2015-05-25,2015-07-07,43,91.5,0,5,1,31-90d,summer,other,2,none,Offline TA/TO,Transient
2015-04-10,2015-07-07,88,139.0,2,5,1,31-90d,summer,240,2,up to half,Online TA,Transient
2015-05-14,2015-07-07,54,79.5,2,5,0,31-90d,summer,8,2,up to half,Offline TA/TO,Transient
2014-09-18,2015-07-07,292,47.25,2,5,1,181d+,summer,other,2,up to half,Offline TA/TO,Contract
2015-03-17,2015-07-07,112,126.65,4,10,0,91-180d,summer,156,2,up to half,Offline TA/TO,Contract
2015-05-01,2015-07-08,68,107.0,0,3,0,31-90d,summer,240,2,none,Online TA,Transient
2015-07-01,2015-07-08,7,131.0,0,4,0,0-7d,summer,240,2,none,Online TA,Transient
2015-07-07,2015-07-08,1,131.0,0,4,0,0-7d,summer,240,2,none,Online TA,Transient
2015-03-17,2015-07-08,113,123.0,0,4,1,91-180d,summer,240,2,none,Online TA,Transient
2015-07-03,2015-07-08,5,146.0,0,4,0,0-7d,summer,240,2,none,Online TA,Transient
2015-04-16,2015-07-08,83,110.7,0,4,0,31-90d,summer,other,2,none,Offline TA/TO,Transient
2015-03-25,2015-07-08,105,73.8,0,4,1,91-180d,summer,240,2,none,Online TA,Transient
2015-07-08,2015-07-08,0,61.0,0,1,0,0-7d,summer,other,0-1,none,Offline TA/TO,Transient
2015-07-07,2015-07-08,1,104.72,0,1,1,0-7d,summer,none,2,none,Corporate,Transient
2015-07-07,2015-07-08,1,104.72,0,1,1,0-7d,summer,none,2,none,Corporate,Transient
2015-07-07,2015-07-08,1,104.72,0,2,0,0-7d,summer,none,2,none,Corporate,Transient
2015-03-28,2015-07-08,102,66.42,1,4,1,91-180d,summer,other,2,up to half,Direct,Transient
2015-03-17,2015-07-08,113,77.96,2,4,0,91-180d,summer,250,2,up to half,Direct,Transient
2014-10-01,2015-07-08,280,112.0,2,5,1,181d+,summer,40,3,up to half,Offline TA/TO,Contract
2015-04-03,2015-07-08,96,107.0,2,5,0,91-180d,summer,240,2,up to half,Online TA,Transient
2014-06-09,2015-07-08,394,89.68,2,5,0,181d+,summer,40,2,up to half,Offline TA/TO,Contract
2015-06-05,2015-07-08,33,155.0,2,5,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-04-17,2015-07-08,82,112.0,2,6,0,31-90d,summer,250,3,up to half,Direct,Transient
2015-03-30,2015-07-08,100,130.1,2,7,0,91-180d,summer,240,3,up to half,Online TA,Transient-Party
2015-03-30,2015-07-08,100,100.1,2,7,0,91-180d,summer,240,2,up to half,Online TA,Transient-Party
2015-06-22,2015-07-09,17,123.0,0,1,0,8-30d,summer,242,4+,none,Online TA,Transient
2015-05-02,2015-07-09,68,124.0,0,2,0,31-90d,summer,250,3,none,Direct,Transient
2015-06-27,2015-07-09,12,146.0,0,2,0,8-30d,summer,none,4+,none,Direct,Transient
2015-04-23,2015-07-09,77,97.0,0,3,1,31-90d,summer,250,2,none,Direct,Transient
2015-06-15,2015-07-09,24,123.0,0,3,1,8-30d,summer,242,4+,none,Online TA,Transient
2015-05-26,2015-07-09,44,153.0,0,3,1,31-90d,summer,240,4+,none,Online TA,Transient
2015-04-22,2015-07-09,78,82.0,0,3,0,31-90d,summer,240,3,none,Online TA,Transient
2015-06-22,2015-07-09,17,105.08,1,3,1,8-30d,summer,240,2,up to half,Online TA,Transient
2015-03-28,2015-07-09,103,65.42,1,3,1,91-180d,summer,240,2,up to half,Online TA,Transient
2015-06-23,2015-07-09,16,98.0,1,3,0,8-30d,summer,250,0-1,up to half,Direct,Transient
2015-06-25,2015-07-09,14,75.46,2,3,0,8-30d,summer,241,2,up to half,Online TA,Transient
2015-04-23,2015-07-09,77,65.5,2,3,0,31-90d,summer,other,2,up to half,Offline TA/TO,Transient
2015-04-10,2015-07-09,90,90.95,2,5,0,31-90d,summer,6,2,up to half,Offline TA/TO,Transient
2015-04-10,2015-07-09,90,93.6,2,5,0,31-90d,summer,40,2,up to half,Offline TA/TO,Contract
2015-04-10,2015-07-09,90,119.25,2,5,0,31-90d,summer,other,2,up to half,Offline TA/TO,Contract
2014-07-08,2015-07-09,366,134.73,2,5,0,181d+,summer,40,2,up to half,Offline TA/TO,Contract
2014-11-02,2015-07-09,249,112.0,2,5,0,181d+,summer,240,2,up to half,Online TA,Transient
2015-05-01,2015-07-09,69,118.13,2,6,1,31-90d,summer,240,2,up to half,Online TA,Transient
2015-06-30,2015-07-10,10,131.0,0,1,0,8-30d,summer,250,2,none,Direct,Transient
2015-06-18,2015-07-10,22,88.2,0,2,0,8-30d,summer,240,2,none,Online TA,Transient
2015-04-10,2015-07-10,91,73.8,0,2,0,91-180d,summer,240,2,none,Online TA,Transient
2015-06-17,2015-07-10,23,98.0,0,2,0,8-30d,summer,240,2,none,Online TA,Transient
2015-06-29,2015-07-10,11,110.5,0,2,0,8-30d,summer,240,2,none,Online TA,Transient
2015-07-07,2015-07-10,3,131.0,0,2,0,0-7d,summer,240,2,none,Online TA,Transient
2015-06-27,2015-07-10,13,185.0,0,2,0,8-30d,summer,240,3,none,Online TA,Transient
2015-03-24,2015-07-10,108,87.3,0,2,0,91-180d,summer,240,2,none,Online TA,Transient
2015-04-10,2015-07-10,91,73.8,0,2,0,91-180d,summer,240,2,none,Online TA,Transient
2015-06-03,2015-07-10,37,120.0,1,2,0,31-90d,summer,other,2,up to half,Online TA,Transient
2015-06-19,2015-07-10,21,98.0,1,2,0,8-30d,summer,250,2,up to half,Direct,Transient
2015-03-26,2015-07-10,106,96.3,1,2,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-06-10,2015-07-10,30,197.0,2,2,0,8-30d,summer,none,2,up to half,Direct,Transient-Party
2015-06-10,2015-07-10,30,197.0,2,2,0,8-30d,summer,none,2,up to half,Direct,Transient-Party
2015-05-20,2015-07-10,51,123.0,2,3,1,31-90d,summer,240,2,up to half,Online TA,Transient
2015-04-22,2015-07-10,79,82.0,2,3,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-06-19,2015-07-10,21,165.0,2,3,0,8-30d,summer,250,4+,up to half,Direct,Transient
2015-06-05,2015-07-10,35,149.4,2,3,0,31-90d,summer,240,4+,up to half,Online TA,Transient
2015-04-23,2015-07-10,78,106.84,2,5,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-06-09,2015-07-10,31,161.0,2,5,0,31-90d,summer,250,2,up to half,Direct,Transient
2015-04-23,2015-07-10,78,134.43,2,5,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-04-23,2015-07-10,78,144.43,2,5,0,31-90d,summer,240,2,up to half,Online TA,Transient
