row,split
765,test
766,val
767,test
768,train
769,train
770,val
771,train
772,train
773,train
774,train
775,val
776,train
777,test
778,train
779,train
780,val
781,test
782,train
783,val
784,train
785,train
786,train
787,train
788,train
789,val
790,train
791,val
792,train
793,val
794,train
795,train
796,test
797,train
798,train
799,train
800,test
801,train
802,train
803,train
804,train
805,train
806,test
807,train
808,test
809,test
810,train
811,val
812,test
813,train
814,train
815,train
816,test
817,train
818,train
819,train
820,test
821,val
822,train
823,val
824,val
825,test
826,train
827,val
828,test
829,train
830,train
831,test
832,train
833,val
834,val
835,test
836,train
837,train
838,test
839,train
840,val
841,train
842,test
843,train
844,train
845,val
846,train
847,train
848,train
849,val
850,train
851,test
852,train
853,test
854,train
855,train
856,train
857,train
858,train
859,val
860,val
861,test
862,test
863,val
864,train
865,train
866,train
867,train
868,val
869,train
870,train
871,train
872,train
873,test
874,train
875,val
876,train
877,train
878,test
879,test
880,test
881,train
882,val
883,test
884,train
885,test
886,train
887,train
888,train
889,val
890,train
891,val
892,train
893,train
894,train
895,test
896,test
897,val
898,train
899,train
900,test
901,train
902,train
903,train
904,train
905,train
906,train
907,train
908,test
909,train
910,val
911,val
912,train
913,test
914,train
915,val
916,train
917,train
918,train
919,val
920,val
921,train
922,train
923,train
924,val
925,val
926,train
927,train
928,val
929,train
930,train
931,train
932,train
933,train
934,test
935,train
936,train
937,test
938,train
939,train
940,val
941,train
942,val
943,test
944,train
945,val
946,train
947,train
948,train
949,train
950,train
951,train
952,val
953,train
954,train
955,train
956,val
957,val
958,test
959,train
960,test
961,train
962,val
963,test
964,val
965,train
966,test
967,val
968,train
969,val
970,train
971,train
972,train
973,train
974,test
975,train
976,train
977,train
978,val
979,train
980,train
981,test
982,train
983,train
984,val
985,train
986,train
987,test
988,train
989,train
990,train
991,train
992,train
993,test
994,val
995,train
996,train
997,val
998,val
999,train
1000,train
1001,test
1002,train
1003,train
1004,train
1005,train
1006,test
1007,train
1008,train
1009,train
1010,train
1011,train
1012,train
1013,test
1014,test
1015,train
1016,train
1017,train
1018,train
1019,test
1020,train
1021,test
1022,test
1023,train
1024,train
1025,train
1026,train
1027,train
1028,train
1029,test
1030,train
1031,train
1032,train
1033,train
1034,train
1035,train
1036,train
1037,train
1038,train
1039,train
1040,val
1041,train
1042,val
1043,train
1044,test
1045,train
1046,train
1047,train
1048,train
1049,train
1050,test
1051,train
1052,train
1053,train
1054,train
1055,val
1056,train
1057,val
1058,train
1059,val
1060,test
1061,train
1062,test
1063,train
1064,train
1065,val
1066,train
1067,train
1068,val
1069,test
1070,train
1071,test
1072,test
1073,train
1074,val
1075,train
1076,test
1077,val
1078,train
1079,train
1080,val
1081,val
1082,train
1083,train
1084,val
1085,train
1086,train
1087,train
1088,train
1089,val
1090,train
1091,train
1092,train
1093,train
1094,train
1095,train
1096,val
1097,test
1098,val
1099,val
1100,train
1101,train
1102,train
1103,train
1104,test
1105,train
1106,train
1107,train
1108,train
1109,val
1110,test
1111,val
1112,val
1113,train
1114,test
1115,test
1116,train
1117,train
1118,val
1119,test
1120,train
1121,train
1122,train
1123,test
1124,val
1125,train
1126,train
1127,train
1128,val
1129,test
1130,val
1131,train
1132,test
1133,train
1134,train
1135,train
1136,train
1137,train
1138,val
1139,train
1140,train
1141,train
1142,train
1143,val
1144,train
1145,val
1146,train
1147,train
1148,test
1149,test
1150,val
1151,val
1152,train
1153,train
1154,train
1155,train
1156,val
1157,train
1158,val
1159,train
1160,train
1161,test
1162,train
1163,train
1164,test
1165,test
1166,test
1167,train
1168,train
1169,train
1170,val
1171,val
1172,test
1173,val
1174,val
1175,train
1176,train
1177,test
1178,train
1179,train
1180,test
1181,test
1182,train
1183,train
1184,train
1185,train
1186,val
1187,train
1188,train
1189,train
1190,train
1191,train
1192,train
1193,train
1194,train
1195,train
1196,train
1197,val
1198,val
1199,val
1200,train
1201,test
1202,val
1203,train
1204,train
1205,train
1206,test
1207,train
1208,train
1209,train
1210,train
1211,val
1212,train
1213,train
1214,train
1215,train
1216,train
1217,test
1218,train
1219,train
1220,train
1221,train
1222,test
1223,train
1224,train
1225,train
1226,val
1227,train
1228,train
1229,train
1230,train
1231,val
1232,test
1233,val
1234,train
1235,train
1236,train
1237,val
1238,test
1239,train
1240,train
1241,val
1242,test
1243,train
1244,val
1245,train
1246,test
1247,train
1248,test
1249,train
1250,val
1251,train
1252,train
1253,train
1254,train
1255,train
1256,train
1257,train
1258,val
1259,train
1260,train
1261,test
1262,train
1263,val
1264,train
1265,val
1266,val
1267,val
1268,train
1269,val
1270,test
1271,test
1272,val
1273,val
1274,test
1275,val
1276,train
1277,train
1278,val
1279,train
1280,train
1281,train
1282,val
1283,train
1284,train
1285,train
1286,train
1287,train
1288,train
1289,train
1290,train
1291,train
1292,test
1293,train
1294,train
1295,val
1296,train
1297,val
1298,test
1299,val
1300,train
1301,train
1302,val
1303,train
1304,val
1305,train
1306,train
1307,train
1308,train
1309,train
1310,train
1311,train
1312,train
1313,train
1314,test
1315,train
1316,test
1317,test
1318,test
1319,val
1320,val
1321,train
1322,val
1323,train
1324,test
1325,train
1326,test
1327,train
1328,train
1329,train
1330,train
1331,train
1332,val
1333,val
1334,val
1335,val
1336,train
1337,train
1338,train
1339,train
1340,train
1341,train
1342,train
1343,val
1344,train
1345,train
1346,train
1347,train
1348,train
1349,test
1350,train
1351,test
1352,train
1353,test
1354,train
1355,val
1356,train
1357,train
1358,train
1359,train
1360,test
1361,test
1362,train
1363,val
1364,train
1365,test
1366,test
1367,test
1368,train
1369,test
1370,test
1371,test
1372,test
1373,train
1374,train
1375,train
1376,train
1377,train
1378,train
1379,val
1380,val
1381,test
1382,train
1383,train
1384,train
1385,val
1386,train
1387,train
1388,train
1389,train
1390,train
1391,train
1392,val
1393,train
1394,val
1395,val
1396,train
1397,test
1398,test
1399,val
1400,test
1401,val
1402,val
1403,train
1404,train
1405,train
1406,train
1407,train
1408,val
1409,test
1410,train
1411,train
1412,train
1413,train
1414,train
1415,train
1416,test
1417,train
1418,train
1419,test
1420,test
1421,test
1422,train
1423,val
1424,val
1425,test
1426,train
1427,train
1428,train
1429,val
1430,train
1431,val
1432,train
1433,test
1434,train
1435,train
1436,train
1437,train
1438,train
1439,test
1440,train
1441,val
1442,test
1443,train
1444,train
1445,val
1446,val
1447,train
1448,train
1449,val
1450,train
1451,train
1452,test
1453,train
1454,test
1455,train
1456,test
1457,train
1458,train
1459,train
1460,train
1461,train
1462,val
1463,train
1464,train
1465,train
1466,train
1467,test
1468,train
1469,val
1470,val
1471,train
1472,train
1473,train
1474,train
1475,val
1476,train
1477,train
1478,train
1479,train
1480,train
1481,test
1482,train
1483,train
1484,train
1485,train
1486,train
1487,train
1488,test
1489,train
1490,val
1491,test
1492,test
1493,train
1494,train
1495,val
1496,train
1497,test
1498,train
1499,train
1500,val
1501,val
1502,train
1503,test
1504,train
1505,train
1506,train
1507,val
1508,val
1509,val
1510,val
1511,val
1512,train
1513,train
1514,test
1515,val
1516,test
1517,train
1518,val
1519,val
1520,test
1521,train
1522,train
1523,val
1524,train
1525,train
1526,test
1527,val
1528,train
1529,train
1530,train
1531,train
1532,train
1533,train
1534,train
1535,val
1536,train
1537,train
1538,train
1539,test
1540,train
1541,train
1542,train
1543,val
1544,train
1545,test
1546,test
1547,test
1548,train
1549,train
1550,train
1551,train
1552,train
1553,val
1554,train
1555,train
1556,train
1557,val
1558,train
1559,val
1560,train
1561,train
1562,train
1563,val
1564,val
1565,train
1566,test
1567,train
1568,train
1569,val
1570,train
1571,train
1572,train
1573,val
1574,train
1575,train
1576,train
1577,val
1578,val
1579,train
1580,train
1581,train
1582,train
1583,train
1584,val
1585,train
1586,train
1587,train
1588,train
1589,train
1590,train
1591,test
1592,val
1593,train
1594,train
1595,train
1596,test
1597,train
1598,train
1599,test
1600,train
1601,val
1602,test
1603,test
1604,test
1605,val
1606,train
1607,train
1608,val
1609,val
1610,val
1611,val
1612,train
1613,test
1614,val
1615,train
1616,train
1617,val
1618,train
1619,test
1620,val
1621,train
1622,val
1623,train
1624,test
1625,test
1626,train
1627,train
1628,train
1629,train
1630,train
1631,test
1632,val
1633,train
1634,test
1635,test
1636,train
1637,train
1638,train
1639,val
1640,train
1641,train
1642,val
1643,test
1644,val
1645,train
1646,train
1647,test
1648,train
1649,train
1650,train
1651,val
1652,val
1653,test
1654,test
1655,test
1656,train
1657,train
1658,test
1659,train
1660,test
1661,train
1662,test
1663,train
1664,train
1665,train
1666,test
1667,train
1668,test
1669,train
1670,train
1671,test
1672,train
1673,val
1674,train
1675,train
1676,train
1677,train
1678,train
1679,train
1680,train
1681,train
1682,train
1683,train
1684,val
1685,test
1686,val
1687,val
1688,train
1689,val
1690,train
1691,val
1692,val
1693,val
1694,train
1695,train
1696,train
1697,train
1698,train
1699,test
1700,train
1701,test
1702,train
1703,train
1704,train
1705,val
1706,train
1707,train
1708,train
1709,train
1710,train
1711,val
1712,val
1713,test
1714,train
1715,train
1716,train
1717,val
1718,test
1719,train
1720,train
1721,train
1722,val
1723,val
1724,train
1725,test
1726,val
1727,test
1728,train
1729,test
1730,train
1731,train
1732,train
1733,train
1734,train
1735,train
1736,train
1737,train
1738,train
1739,test
1740,train
1741,val
1742,test
1743,train
1744,train
1745,val
1746,train
1747,val
1748,train
1749,val
1750,val
1751,val
1752,test
1753,test
1754,train
1755,train
1756,train
1757,train
1758,test
1759,train
1760,train
1761,test
1762,test
1763,train
1764,val
1765,train
1766,test
1767,train
1768,test
1769,test
1770,val
1771,train
1772,train
1773,val
1774,train
1775,train
1776,train
1777,test
1778,train
1779,test
1780,train
1781,val
1782,train
1783,test
1784,val
1785,test
1786,train
1787,train
1788,train
1789,test
1790,test
1791,train
1792,train
1793,train
1794,train
1795,test
1796,test
1797,train
1798,train
1799,train
1800,test
1801,train
1802,val
1803,test
1804,train
1805,test
1806,val
1807,test
1808,val
1809,train
1810,train
1811,test
1812,train
1813,train
1814,val
1815,train
1816,test
1817,train
1818,test
1819,train
1820,test
1821,train
1822,train
1823,train
1824,train
1825,test
1826,train
1827,train
1828,train
1829,val
1830,train
1831,train
1832,train
1833,train
1834,train
1835,val
1836,train
1837,test
1838,train
1839,train
1840,train
1841,train
1842,test
1843,test
1844,train
1845,train
1846,train
1847,test
1848,train
1849,val
1850,train
1851,test
1852,train
1853,train
1854,val
1855,train
1856,val
1857,train
1858,val
1859,train
1860,train
1861,train
1862,val
1863,test
1864,val
1865,train
1866,val
1867,test
1868,train
1869,train
1870,train
1871,val
1872,train
1873,train
1874,train
1875,train
1876,test
1877,train
1878,val
1879,val
1880,test
1881,train
1882,test
1883,train
1884,test
1885,train
1886,test
1887,val
1888,train
1889,train
1890,train
1891,train
1892,train
1893,test
1894,test
1895,train
1896,val
1897,val
1898,train
1899,train
1900,train
1901,train
1902,val
1903,train
1904,train
1905,train
1906,train
1907,val
1908,val
1909,train
1910,train
1911,train
1912,test
1913,test
1914,train
1915,train
1916,train
1917,val
1918,train
1919,train
1920,train
1921,train
1922,test
1923,train
1924,val
1925,val
1926,val
1927,train
1928,train
1929,train
1930,train
1931,train
1932,train
1933,train
1934,train
1935,train
1936,train
1937,val
1938,val
1939,train
1940,train
1941,test
1942,train
1943,train
1944,train
1945,train
1946,test
1947,test
1948,train
1949,train
1950,test
1951,test
1952,train
1953,train
1954,test
1955,train
1956,test
1957,train
1958,test
1959,test
1960,val
1961,train
1962,val
1963,train
1964,train
1965,test
1966,test
1967,train
1968,train
1969,train
1970,train
1971,train
1972,test
1973,train
1974,train
1975,train
1976,val
1977,test
1978,train
1979,train
1980,train
1981,val
1982,val
1983,train
1984,val
1985,train
1986,train
1987,val
1988,train
1989,test
1990,test
1991,test
1992,test
1993,train
1994,train
1995,test
1996,train
1997,train
1998,train
1999,train
2000,train
2001,train
2002,val
2003,val
2004,train
2005,train
2006,train
2007,train
2008,train
2009,train
2010,train
2011,test
2012,train
2013,train
2014,test
2015,train
2016,test
2017,test
2018,train
2019,val
2020,train
2021,train
2022,val
2023,val
2024,val
2025,val
2026,test
2027,val
2028,val
2029,train
2030,test
2031,train
2032,train
2033,test
2034,train
2035,train
2036,train
2037,val
2038,train
2039,train
2040,test
2041,train
2042,test
2043,train
2044,train
2045,test
2046,train
2047,test
2048,train
2049,train
2050,test
2051,train
2052,val
2053,val
2054,train
2055,train
2056,train
2057,val
2058,train
2059,train
2060,train
2061,train
2062,train
2063,train
2064,train
2065,test
2066,test
2067,train
2068,train
2069,test
2070,test
2071,train
2072,train
2073,test
2074,train
2075,val
2076,val
2077,train
2078,train
2079,test
2080,train
2081,train
2082,train
2083,train
2084,train
2085,val
2086,train
2087,val
2088,test
2089,train
2090,train
2091,train
2092,train
2093,train
2094,train
2095,train
2096,train
2097,train
2098,train
2099,train
2100,val
2101,val
2102,val
2103,val
2104,train
2105,train
2106,train
2107,train
2108,train
2109,train
2110,train
2111,train
2112,train
2113,test
2114,val
2115,val
2116,val
2117,train
2118,test
2119,train
2120,val
2121,train
2122,train
2123,test
2124,train
2125,train
2126,train
2127,test
2128,train
2129,test
2130,val
2131,train
2132,train
2133,train
2134,train
2135,train
2136,train
2137,train
2138,test
2139,train
2140,train
2141,val
2142,train
2143,train
2144,train
2145,train
2146,test
2147,test
2148,test
2149,train
2150,val
2151,train
2152,val
2153,train
2154,test
2155,train
2156,train
2157,train
2158,train
2159,train
2160,val
2161,train
2162,train
2163,train
2164,val
2165,train
2166,val
2167,train
2168,test
2169,train
2170,test
2171,train
2172,val
2173,test
2174,test
2175,train
2176,test
2177,train
2178,train
2179,val
2180,train
2181,train
2182,train
2183,train
2184,train
2185,test
2186,train
2187,test
2188,train
2189,test
2190,val
2191,val
2192,test
2193,val
2194,test
2195,val
2196,test
2197,train
2198,train
2199,train
2200,val
2201,train
2202,train
2203,train
2204,train
2205,val
2206,train
2207,train
2208,val
2209,test
2210,val
2211,val
2212,train
2213,test
2214,train
2215,test
2216,train
2217,test
2218,test
2219,val
2220,train
2221,train
2222,train
2223,train
2224,val
2225,test
2226,train
2227,train
2228,test
2229,val
2230,train
2231,test
2232,train
2233,train
2234,train
2235,train
2236,test
2237,test
2238,test
2239,train
2240,train
2241,train
2242,train
2243,train
2244,train
2245,train
2246,val
2247,val
2248,train
2249,train
2250,val
2251,train
2252,train
2253,train
2254,train
2255,train
2256,val
2257,train
2258,train
2259,train
2260,train
2261,val
2262,test
2263,train
2264,val
2265,train
2266,train
2267,train
2268,train
2269,train
2270,val
2271,train
2272,train
2273,val
2274,train
2275,train
2276,train
2277,train
2278,train
2279,train
2280,train
2281,train
2282,test
2283,test
2284,train
2285,test
2286,test
2287,train
2288,train
2289,train
2290,train
2291,train
2292,train
2293,train
2294,train
2295,val
2296,val
2297,train
2298,val
2299,train
2300,train
2301,train
2302,train
2303,train
2304,train
2305,val
2306,val
2307,train
2308,val
2309,train
2310,test
2311,test
2312,val
2313,train
2314,train
2315,test
2316,train
2317,train
2318,train
2319,train
2320,train
2321,train
2322,train
2323,train
2324,test
2325,test
2326,val
2327,train
2328,train
2329,val
2330,val
2331,val
2332,val
2333,val
2334,test
2335,train
2336,val
2337,train
2338,val
2339,train
2340,train
2341,test
2342,train
2343,train
2344,train
2345,val
2346,val
2347,val
2348,val
2349,val
2350,train
2351,train
2352,train
2353,train
2354,train
2355,train
2356,val
2357,train
2358,test
2359,train
2360,train
2361,val
2362,train
2363,val
2364,train
2365,train
2366,val
2367,train
2368,train
2369,val
2370,test
2371,train
2372,test
2373,test
2374,train
2375,train
2376,train
2377,train
2378,train
2379,train
2380,train
2381,train
2382,train
2383,train
2384,train
2385,val
2386,train
2387,train
2388,train
2389,val
2390,test
2391,test
2392,val
2393,train
2394,train
2395,train
2396,val
2397,train
2398,train
2399,test
2400,train
2401,train
2402,train
2403,val
2404,val
2405,train
2406,val
2407,test
2408,test
2409,test
2410,test
2411,train
2412,train
2413,train
2414,train
2415,val
2416,val
2417,test
2418,train
2419,test
2420,train
2421,train
2422,train
2423,val
2424,train
2425,train
2426,train
2427,train
2428,train
2429,train
2430,train
2431,train
2432,train
2433,train
2434,train
2435,train
2436,train
2437,train
2438,train
2439,train
2440,val
2441,train
2442,train
2443,val
2444,test
2445,val
2446,train
2447,train
2448,train
2449,test
2450,val
2451,val
2452,val
2453,train
2454,train
2455,val
2456,train
2457,train
2458,train
2459,val
2460,train
2461,train
2462,val
2463,train
2464,train
2465,val
2466,train
2467,test
2468,train
2469,val
2470,train
2471,test
2472,train
2473,train
2474,val
2475,test
2476,train
2477,train
2478,train
2479,val
2480,train
2481,train
2482,train
2483,train
2484,train
2485,val
2486,train
2487,train
2488,train
2489,val
2490,test
2491,train
2492,train
2493,train
2494,test
2495,test
2496,val
2497,train
2498,test
2499,train
2500,train
2501,val
2502,train
2503,train
2504,train
2505,train
2506,val
2507,val
2508,train
2509,train
2510,val
2511,train
2512,train
2513,train
2514,train
2515,train
2516,train
2517,train
2518,test
2519,train
2520,val
2521,train
2522,train
2523,test
2524,val
2525,val
2526,train
2527,val
2528,train
2529,train
2530,train
2531,train
2532,train
2533,test
2534,train
2535,val
2536,val
2537,val
2538,test
2539,train
2540,train
2541,train
2542,train
2543,test
2544,test
2545,train
2546,train
2547,train
2548,val
2549,train
2550,test
2551,train
2552,test
2553,test
2554,test
2555,train
2556,train
2557,train
2558,train
2559,train
2560,train
2561,val
2562,val
2563,val
2564,train
2565,test
2566,val
2567,test
2568,test
2569,train
2570,test
2571,val
2572,train
2573,test
2574,test
2575,test
2576,test
2577,test
2578,train
2579,train
2580,test
2581,train
2582,val
2583,train
2584,val
2585,val
2586,test
2587,val
2588,train
2589,train
2590,train
2591,test
2592,train
2593,train
2594,test
2595,test
2596,train
2597,train
2598,train
2599,train
2600,train
2601,train
2602,train
2603,train
2604,train
2605,train
2606,test
2607,test
2608,train
2609,train
2610,test
2611,test
2612,test
2613,train
2614,train
2615,test
2616,val
2617,train
2618,train
2619,train
2620,val
2621,train
2622,val
2623,train
2624,train
2625,test
2626,train
2627,train
2628,train
2629,train
2630,train
2631,test
2632,train
2633,train
2634,val
2635,train
2636,train
2637,train
2638,val
2639,train
2640,train
2641,train
2642,test
2643,train
2644,train
2645,test
2646,train
2647,test
2648,val
2649,train
2650,train
2651,train
2652,val
2653,train
2654,train
2655,val
2656,train
2657,train
2658,train
2659,val
2660,val
2661,train
2662,test
2663,train
2664,train
2665,train
2666,test
2667,test
2668,train
2669,val
2670,val
2671,val
2672,test
2673,val
2674,test
2675,train
2676,test
2677,train
2678,train
2679,train
2680,test
2681,test
2682,test
2683,train
2684,train
2685,val
2686,train
2687,train
2688,train
2689,test
2690,val
2691,train
2692,test
2693,test
2694,train
2695,train
2696,test
2697,val
2698,train
2699,train
2700,train
2701,train
2702,train
2703,val
2704,test
2705,test
2706,val
2707,train
2708,train
2709,train
2710,train
2711,train
2712,test
2713,train
2714,val
2715,train
2716,train
2717,train
2718,val
2719,train
2720,train
2721,train
2722,test
2723,train
2724,val
2725,val
2726,val
2727,val
2728,train
2729,train
2730,val
2731,test
2732,val
2733,train
2734,train
2735,val
2736,train
2737,val
2738,test
2739,train
2740,train
2741,val
2742,train
2743,train
2744,test
2745,train
2746,val
2747,test
2748,test
2749,train
2750,train
2751,train
2752,train
2753,val
2754,val
2755,train
2756,train
2757,test
2758,test
2759,train
2760,val
2761,train
2762,val
2763,train
2764,train
2765,test
2766,train
2767,val
2768,train
2769,train
2770,train
2771,train
2772,train
2773,train
2774,train
2775,test
2776,test
2777,val
2778,train
2779,train
2780,train
2781,train
2782,test
2783,train
2784,train
2785,train
2786,val
2787,train
2788,train
2789,test
2790,test
2791,val
2792,test
2793,train
2794,train
2795,train
2796,train
2797,train
2798,val
2799,test
2800,val
2801,train
2802,val
2803,train
2804,train
2805,train
2806,train
2807,test
2808,val
2809,test
2810,train
2811,train
2812,train
2813,val
2814,test
2815,train
2816,train
2817,train
2818,train
2819,val
2820,val
2821,val
2822,val
2823,val
2824,test
2825,val
2826,val
2827,val
2828,val
2829,train
2830,test
2831,train
2832,test
2833,val
2834,test
2835,test
2836,train
2837,train
2838,train
2839,train
2840,train
2841,test
2842,train
2843,test
2844,val
2845,val
2846,train
2847,train
2848,val
2849,train
2850,test
2851,test
2852,train
2853,train
2854,train
2855,train
2856,test
2857,train
2858,test
2859,test
2860,test
2861,test
2862,test
2863,train
2864,train
2865,train
2866,test
2867,train
2868,train
2869,test
2870,train
2871,val
2872,train
2873,train
2874,train
2875,val
2876,test
2877,train
2878,val
2879,train
2880,train
2881,test
2882,train
2883,train
2884,train
2885,train
2886,test
2887,train
2888,train
2889,train
2890,test
2891,train
2892,train
2893,test
2894,val
2895,train
2896,test
2897,test
2898,train
2899,train
2900,val
2901,test
2902,train
2903,train
2904,test
2905,test
2906,train
2907,val
2908,train
2909,val
2910,train
2911,train
2912,train
2913,test
2914,test
2915,train
2916,train
2917,train
2918,train
2919,train
2920,train
2921,train
2922,train
2923,train
2924,train
2925,test
2926,train
2927,train
2928,val
2929,train
2930,train
2931,val
2932,val
2933,val
2934,train
2935,val
2936,train
2937,train
2938,val
2939,train
2940,val
2941,train
2942,val
2943,test
2944,train
2945,train
2946,train
2947,val
2948,val
2949,val
2950,train
2951,val
2952,train
2953,train
2954,train
2955,train
2956,val
2957,test
2958,train
2959,train
2960,train
2961,train
2962,train
2963,val
2964,train
2965,train
2966,train
2967,train
2968,train
2969,train
2970,train
2971,train
2972,val
2973,val
2974,train
2975,test
2976,train
2977,train
2978,train
2979,test
2980,train
2981,train
2982,test
2983,test
2984,train
2985,train
2986,test
2987,train
2988,train
2989,train
2990,train
2991,train
2992,train
2993,val
2994,val
2995,train
2996,train
2997,train
